,labels
23095,t
2678,m
14272,e
2577,t
14904,b
19452,e
6489,b
228,e
4376,e
15848,b
20304,t
9112,m
22313,t
16194,b
21823,t
10167,m
16399,b
14379,t
8653,m
4653,e
574,b
6899,e
11808,m
8395,t
6632,m
1877,t
10238,e
13077,b
4878,m
1822,t
15571,m
23318,e
12815,e
14839,m
2043,e
2405,m
3206,m
14273,e
19953,e
4960,b
5578,m
10528,e
15172,m
19612,b
5779,t
19348,b
13237,m
15232,b
16338,t
7796,t
3360,m
17114,m
15021,b
7533,t
21331,b
19473,t
9258,t
2480,e
13963,t
11718,t
743,t
1677,t
23079,e
24324,b
16028,b
10305,e
18599,b
10656,e
6486,t
24311,m
8983,t
6243,b
9676,b
6309,e
14145,e
16921,t
3305,e
22294,m
17200,b
8465,t
10694,e
19213,t
19396,t
4167,b
5629,m
3702,t
3272,t
4121,e
11532,e
2884,b
7132,b
9625,e
20083,t
9363,e
8330,t
9698,m
19154,t
18043,b
15608,m
2363,m
12077,t
2617,t
23820,t
3600,e
14696,m
12444,t
14889,m
13941,m
15508,b
17124,b
17317,m
19178,t
18576,e
17419,e
10628,m
23819,b
22515,m
11666,t
2571,b
5381,b
11501,b
1946,t
19669,b
20932,m
23771,e
6866,e
4908,t
14660,b
17405,e
2899,m
19930,b
24668,e
13582,b
15944,e
24480,m
19585,m
23355,e
13519,e
14174,m
5796,e
19029,m
3316,b
9552,t
21451,e
8836,m
4704,b
13220,t
20384,m
12696,b
14760,b
15996,m
3344,e
6747,t
10435,e
18519,m
5932,e
20890,t
24874,m
14207,m
13563,e
7413,e
5178,m
7935,b
7917,t
11226,e
14703,b
14425,b
17974,t
1982,t
7795,e
5456,e
9006,m
4216,b
23664,t
15050,t
17448,m
15628,e
11829,m
7944,m
18015,b
8657,m
9761,t
10432,t
1138,e
5893,m
3643,m
13501,b
15014,t
5022,m
16883,e
5612,e
5168,t
5770,b
5215,e
14685,b
10595,b
15899,b
12090,m
1954,e
8146,b
7888,b
19156,m
22840,t
7030,b
271,m
5731,m
24942,t
16889,m
16881,m
13980,m
3661,e
9248,m
9641,b
6712,e
24278,b
4571,m
852,e
5732,b
24759,t
4482,m
7306,e
12604,e
3737,m
9484,b
19784,b
3809,e
22948,t
437,m
1636,m
4406,t
10514,m
24416,t
2174,m
22222,m
11722,m
19057,t
7355,e
9733,b
21624,t
466,e
4204,m
4654,t
20155,e
13508,e
8644,e
10739,t
24962,m
23428,e
1986,m
15352,b
10687,m
23009,m
9251,b
17053,b
15479,t
11014,m
7628,b
10589,e
13115,e
11046,m
14798,b
6928,t
11952,m
16998,m
13,m
8081,e
24782,t
22554,b
10272,m
21788,t
17795,t
10526,m
19875,b
15885,t
247,t
23116,m
15017,e
10982,b
7340,m
22383,t
673,m
7716,e
13895,b
4859,b
17088,t
17602,m
17700,e
18528,m
6723,m
3629,e
11810,t
5660,b
11576,e
2565,t
14504,t
20675,m
20360,m
18175,t
21635,b
21235,e
11139,t
8936,b
2266,e
20873,e
5437,t
2068,m
2777,m
18241,e
14413,t
11510,b
6703,m
18854,m
11095,e
20425,b
21237,t
20022,t
16119,t
14099,e
2324,b
6083,b
9728,b
10509,m
5349,t
13424,t
7574,e
20620,t
3859,t
19986,b
16606,b
18048,b
9070,m
3149,m
14577,t
1841,e
12352,b
8162,m
21199,b
14579,m
16923,t
19521,m
16591,b
5048,e
13341,m
6172,e
19094,m
14320,t
7271,b
1747,t
3242,m
3350,b
9726,m
21589,b
18817,b
15973,e
5846,e
10945,m
13507,e
9339,b
24346,t
14752,b
18455,e
11157,t
3068,m
12234,m
5126,t
6491,m
168,m
5045,t
467,m
20011,b
23943,m
13330,e
17685,t
21453,e
12279,e
18954,e
1462,m
15589,m
23561,m
4507,b
16011,t
1683,m
6923,t
14954,b
20340,b
10783,m
17929,t
3359,b
18986,b
5980,e
9689,e
24062,b
24123,b
12738,t
12699,t
14559,m
8557,e
22106,m
976,e
6059,e
14474,b
11379,t
19557,e
13344,e
2880,m
9502,e
2606,m
18942,t
13611,b
21083,e
20266,b
20060,b
7638,m
12040,e
3274,t
20562,m
13614,m
4799,e
3783,m
10857,m
20336,b
8678,t
17418,e
1914,t
13479,m
17819,b
14817,b
6480,t
16024,b
9678,t
23155,t
10676,t
21001,m
8493,e
11891,b
17151,e
9123,b
5193,t
569,e
4552,b
10668,m
2153,e
550,e
4860,b
19096,m
6493,b
15665,b
762,m
20969,t
23468,b
3343,e
4481,e
8688,e
19228,t
4209,e
16788,e
6060,t
1052,m
429,m
15842,t
10314,b
8620,m
577,e
14917,m
4453,b
8834,t
23875,t
15573,m
9391,m
23675,b
23388,m
22155,b
4539,e
19830,m
22913,e
9433,e
23041,b
22614,b
9614,b
4063,b
12586,t
14569,b
3049,m
20879,e
10861,b
516,b
16350,m
12862,t
3210,m
6668,t
22447,t
22038,b
2314,t
2422,e
21522,t
20253,m
3357,b
23755,e
23028,e
5915,e
2896,m
23477,m
23871,t
7446,t
4682,e
3697,b
20275,m
5333,t
11977,b
6753,b
21409,e
21712,b
24451,m
5398,e
5819,e
12619,e
20642,m
1642,t
23638,m
10122,e
11899,e
5130,m
21770,t
9685,e
3265,b
16833,t
24442,e
21754,b
5190,m
13253,e
2572,b
23878,e
15259,e
21637,e
24503,e
12180,t
19382,e
6217,t
18480,b
6738,t
1403,m
2741,e
10662,m
2751,e
10846,t
16839,m
10560,b
8301,e
7761,t
18612,t
20230,t
10208,m
13319,b
7562,m
10876,t
20024,t
20860,t
1796,m
18776,t
8439,e
2179,e
3668,e
3778,t
19501,b
16946,e
24982,e
6050,m
20853,t
9609,t
5742,m
2091,b
8403,e
10369,t
6104,m
1006,e
2932,m
5396,m
18325,b
21473,t
23109,b
24876,e
6633,e
7528,m
10989,e
24365,m
18606,t
24607,t
22060,b
15963,m
22138,b
7862,b
18704,b
15531,m
9435,b
14459,m
19927,t
2619,b
5370,b
1169,e
10168,b
18099,e
23777,m
12772,t
540,e
2501,m
3524,t
19654,e
4962,b
12236,e
24392,b
7324,m
2279,e
19709,t
16688,e
9822,t
13801,b
11282,m
14075,t
9036,b
1044,b
22084,t
5091,b
9215,t
1502,e
20417,b
18305,b
8589,e
13793,b
5936,t
5234,t
15654,m
19305,t
9769,m
9185,b
18443,t
2874,m
8056,t
9961,e
3415,t
21597,b
21202,e
19665,m
19628,m
6617,t
1911,e
20162,t
12344,b
9273,b
21667,e
18824,t
2451,e
7222,t
24135,t
4526,t
6239,b
5377,e
13887,m
9061,t
18108,m
14150,b
5806,m
10109,e
2410,b
18133,e
589,t
2059,t
8062,t
6280,t
10017,b
24105,t
24074,t
20028,b
623,m
13928,m
491,m
21741,m
2993,t
14538,b
4418,b
23100,t
6362,t
24386,b
8846,m
18649,b
16645,e
24358,m
9731,t
23203,m
16994,b
9563,t
23632,t
15178,b
5042,t
22287,e
15810,b
13247,m
1450,m
10679,e
17080,t
13818,e
8925,t
5945,b
13769,t
6788,m
8103,m
17646,b
9370,e
2927,m
21089,m
24702,b
5737,b
18624,e
63,t
22736,m
22956,b
1323,t
14293,m
1386,t
8814,m
13599,t
8240,b
6627,b
21471,e
23293,m
6524,t
2224,e
7038,e
16751,b
22851,b
2676,t
2856,b
12205,e
20938,e
2391,t
10318,m
17800,t
18937,m
16493,b
11764,m
1027,t
2269,b
7834,b
24860,t
22537,m
15741,e
19045,t
11760,e
7520,m
3575,m
9944,e
20792,b
10365,e
22163,e
6450,t
16339,m
1111,e
20504,b
7976,e
15931,t
85,e
21042,b
948,t
7493,t
8217,e
6638,m
11634,e
556,e
13333,m
10121,m
24508,m
11704,b
22492,e
9050,b
22555,e
19593,t
3690,b
21474,t
13858,t
18621,m
18406,m
15075,t
9704,t
5750,m
9169,t
15958,b
7953,b
18359,m
13026,b
13337,t
12729,m
22424,t
2905,m
21214,m
2130,m
15358,b
16330,e
17592,b
24958,e
16478,m
10266,b
3804,e
15256,b
12366,m
19274,b
21354,m
18083,m
8717,m
1051,b
1219,e
15270,b
3116,m
2795,e
593,t
8137,t
4752,m
10228,m
19376,e
5376,t
20176,b
17579,m
10320,b
3618,e
24524,m
13283,e
19370,t
2033,b
18041,t
11141,t
4370,t
212,t
14729,m
1022,t
1665,e
11803,e
19174,t
6606,b
9490,b
17476,m
23043,b
22768,t
24384,m
19241,b
10464,e
4612,t
7169,b
11348,m
1980,t
21092,e
18307,m
21134,t
17891,b
13686,t
3806,b
186,m
6012,m
9710,t
15634,b
11759,e
13540,b
16902,m
20832,m
9880,e
1239,m
14191,e
23125,e
23979,b
20052,e
24297,b
7611,t
12008,e
18011,t
19827,b
1504,e
17681,b
10494,t
21236,t
7188,t
11483,t
24186,b
16961,e
6556,t
2790,e
21348,t
8546,t
10311,b
13814,e
11931,m
4282,t
20292,m
1983,e
12766,t
24502,e
17218,t
5072,m
15101,e
13267,b
265,t
17684,t
16436,b
23161,m
23653,e
5052,m
17267,m
1682,m
250,e
669,b
13066,t
8451,b
13166,t
18060,t
19077,m
24407,e
5062,t
24557,m
4021,t
15557,m
4242,m
21097,m
18034,e
12201,t
11265,e
15560,e
3997,b
2998,m
765,m
20316,e
22793,m
10799,e
12771,b
8990,b
18096,m
14874,t
8163,b
22465,b
2648,e
2900,e
11337,m
16183,b
11812,b
8767,b
18170,m
21796,m
10959,b
16968,e
12407,b
7830,m
20943,t
2890,m
944,e
12716,b
19531,e
20533,t
21056,m
19979,t
20877,m
8489,e
12531,b
20391,m
24327,b
6339,b
4474,t
20322,m
1186,b
9906,b
12808,e
763,t
21118,e
19828,m
24853,b
2815,b
8017,b
172,t
17645,b
4722,t
1762,t
20124,m
23648,t
598,m
16825,b
1420,m
134,m
17584,m
10512,m
11587,t
4228,b
10166,e
7841,t
13813,t
16607,m
921,e
12867,t
14076,t
21629,m
9979,e
24601,b
14668,b
20440,b
7061,m
12904,b
20307,b
9661,e
21628,b
3854,b
20617,t
22878,e
21299,e
21057,t
19758,t
7376,e
9456,e
8375,m
463,t
1617,b
14147,e
23518,b
6027,b
729,e
22817,e
10101,m
13179,m
21931,t
10949,t
22782,t
15248,b
15684,e
14730,b
19646,t
14613,m
16159,b
21691,t
18476,m
15130,e
8613,b
20074,m
24724,b
4784,b
4229,m
14497,e
4452,b
19769,b
6938,b
23893,t
24247,m
12393,t
9219,t
9931,b
17958,e
8387,e
12680,e
22332,e
21607,e
10331,e
1975,b
9930,m
21342,m
7748,b
3382,e
23312,t
6539,t
17784,m
21372,e
7261,b
17373,e
14353,t
18518,m
2241,m
6379,t
7601,m
19533,b
3794,e
11826,m
21347,t
7676,t
6773,t
11616,b
21849,m
11328,t
7713,b
1071,m
10030,e
8635,m
6806,t
566,b
8368,t
3352,m
18246,t
20429,m
1772,b
19377,m
21271,m
22245,b
37,t
9223,b
17251,t
7156,b
2009,e
10893,m
21373,e
15506,b
1541,m
12621,b
1626,b
16978,m
21113,m
10818,m
16950,m
8143,b
20577,b
6683,e
4100,b
14188,e
10539,t
14976,e
24849,e
16415,e
8418,b
4014,e
377,m
12868,b
1470,b
21077,m
11008,t
21675,t
9243,b
1589,e
22603,e
22049,m
10091,e
3338,e
14604,t
1459,t
13401,t
21529,t
19325,e
12065,m
3847,e
18880,t
1131,m
22153,e
17769,t
5869,m
7724,t
5451,e
2462,b
10410,m
7001,b
5874,m
203,t
3850,t
7,b
801,e
8242,e
12030,e
5094,t
22098,e
107,b
16114,t
6167,m
18276,t
9063,t
9190,e
14961,t
2590,m
4872,m
24565,t
24855,m
2629,t
416,e
11304,m
19513,b
22472,t
13443,b
14183,e
5253,t
3620,m
13180,t
12937,t
21730,m
5696,t
17916,t
5348,e
16506,b
14785,t
11708,m
17831,b
1382,b
15157,t
10729,t
4710,m
19054,t
1097,e
23070,m
19280,b
18644,e
2540,e
10904,e
11030,m
4081,e
1387,m
18311,t
4003,m
20101,b
7323,t
9750,b
23144,t
3926,e
5074,b
11958,b
24212,m
16525,m
7162,m
8174,e
12599,b
7821,t
4153,b
819,m
12141,e
18738,e
19190,m
20345,m
7883,e
24540,m
10011,e
3760,t
23244,e
5050,t
20786,b
13757,b
3500,b
13256,e
14125,m
17480,b
14716,m
17234,b
4957,b
12171,b
23508,t
14702,b
18200,b
498,b
15711,m
22039,m
1668,e
14285,b
5972,m
3393,e
22518,b
3079,e
15162,t
19852,t
17960,b
1532,t
5541,t
14118,m
24127,e
23503,m
13995,e
1995,m
21631,e
9978,t
20262,e
9193,t
22064,e
4380,t
19309,m
8827,m
19219,b
20679,t
3554,b
13204,b
21452,e
2651,t
21797,e
17546,e
23549,e
2859,e
9607,e
454,m
23363,m
4006,e
427,b
6750,m
1255,e
15449,m
18830,m
11745,e
22911,b
16396,m
1499,e
13459,m
3959,e
23643,m
13630,b
520,b
18452,t
5409,e
724,t
1235,e
1133,b
19958,b
1652,m
9323,e
9291,b
1625,e
7869,t
22036,t
5361,t
23529,e
20339,b
1484,b
21731,t
16097,b
13147,e
7938,t
16669,m
21853,e
8872,t
6555,b
1475,e
15938,m
23810,m
10765,t
5294,b
12827,e
11142,e
14842,t
19648,m
321,b
16068,b
9313,b
5808,m
13590,t
11329,b
24608,t
7307,m
10014,e
4746,m
4921,m
13904,t
23077,e
1324,t
5544,m
19726,m
13239,t
10847,m
13694,b
14289,m
19364,e
8615,t
22205,t
346,e
5293,m
935,t
4233,e
23179,m
18981,t
1393,m
22042,m
4442,t
24879,m
2575,b
13057,b
5534,m
2146,t
11101,b
5823,t
2349,b
8150,t
11619,t
12759,e
9392,b
19718,e
2005,m
17641,b
2227,b
5926,m
24411,m
13772,b
23058,m
19411,b
20727,t
2264,m
2868,t
4381,b
21249,m
12592,t
14051,e
21591,m
146,m
15399,m
5416,t
2281,m
13946,b
18768,b
13098,m
1943,e
24354,t
3279,m
23106,b
3356,t
11927,m
4694,b
7066,b
13136,b
15038,b
10744,e
16032,e
2568,b
22247,m
4825,m
5422,e
13025,b
13917,m
21815,t
17569,t
19844,b
12723,b
2273,t
18592,t
19289,b
23801,e
10704,e
18861,e
23905,t
2659,m
16443,b
21315,t
22725,e
16782,m
10048,m
18758,e
14349,m
9527,b
2490,t
9283,t
10778,e
8917,t
9335,m
5375,t
17301,b
21332,b
3361,m
17018,t
12932,m
4048,m
12257,t
12455,e
22321,b
20114,m
22219,t
591,e
7773,b
8843,e
9366,e
10888,b
10605,b
14507,b
6778,t
24640,e
14522,b
6792,m
5707,e
23207,e
14189,m
3770,b
7753,e
16187,e
16784,t
13444,t
16530,e
9946,e
15858,m
10839,b
7153,m
22316,t
17577,e
23716,m
11597,m
22097,t
8701,e
8097,e
15225,b
13802,e
12127,t
22892,b
15025,b
12762,e
16617,t
9601,b
19871,t
19320,t
6635,e
147,t
19371,t
16307,m
8284,e
13274,b
5315,m
22841,t
21432,m
5575,e
18696,e
22729,b
10474,m
10641,b
24665,e
9809,e
9701,b
15111,b
17989,m
8744,t
6269,b
2397,b
17771,b
23596,b
1653,e
3996,b
1210,b
4599,t
22558,m
13191,m
17163,e
16560,e
23855,e
10270,b
7178,m
13652,t
2699,m
19451,m
4348,m
24548,m
24718,b
10907,t
1513,t
7669,b
3903,e
4385,e
20393,t
21020,e
17553,t
2986,e
14635,b
18748,t
22169,m
8447,m
8376,t
20096,e
8257,m
1874,t
10749,e
4648,t
16774,b
527,m
22635,b
9132,b
17666,b
12109,m
16838,b
15733,t
16944,b
17440,e
12398,e
6433,t
7009,t
6173,e
7940,b
19841,b
6975,b
18651,b
18151,e
4608,e
2185,b
4108,m
1575,t
6007,t
16845,m
10073,e
16734,t
20608,b
4170,m
23592,m
17750,m
9574,t
4730,t
9094,t
10760,m
12148,m
4141,e
9448,t
11000,m
15735,e
23133,m
14480,t
15581,t
18907,b
21307,m
13574,m
19406,b
7699,b
16121,t
8194,e
18831,b
7283,t
3703,b
2183,e
11804,t
21003,t
10954,b
5147,m
3219,b
15584,t
17022,e
5129,e
18422,e
17123,e
5833,t
5280,t
21962,b
23000,t
22684,m
772,m
4765,b
18505,m
19230,t
1456,e
10363,b
6018,e
14751,e
24790,e
21321,e
7910,t
19865,t
18598,m
11427,t
2672,b
61,m
22887,t
13218,e
1286,m
1536,b
7763,e
22190,t
8384,m
19286,m
6604,t
2093,t
18525,e
22054,m
3622,t
8050,e
24139,e
8006,b
2531,m
2036,t
9860,b
23050,b
16556,b
3243,t
2983,b
4994,e
24230,b
18365,m
998,b
10428,m
15594,m
9466,m
12282,b
10185,t
18993,b
15153,e
18202,t
3020,m
10282,m
13111,e
22958,b
4334,m
22870,e
13298,e
14092,b
23342,e
10624,m
19728,t
11687,e
15526,t
9030,b
19650,e
5028,m
16933,e
1816,e
14978,e
80,e
14885,m
16212,e
3797,t
11245,b
5292,m
12269,e
17637,m
16156,e
13664,m
14573,e
14324,b
6987,t
20383,m
1720,t
21921,t
9133,e
24151,t
17136,e
20240,e
19016,e
20107,b
7997,t
7730,b
17963,m
548,b
10917,t
6420,m
20666,b
17723,t
13921,b
17503,m
17642,t
7915,e
9807,e
17522,m
12959,m
5077,b
7688,m
9019,e
24561,e
19806,t
21241,e
10551,m
13398,t
2646,t
6817,m
22881,t
269,e
5478,t
217,t
23288,m
10853,m
20250,b
5769,b
19722,t
7812,m
9057,e
9848,e
20259,b
24359,m
2001,m
16528,m
22425,m
23140,e
6186,e
1743,m
12124,e
21065,m
1269,e
3922,m
11513,b
3938,t
6730,e
21948,m
3939,m
7900,b
15666,t
15185,e
7044,b
12568,t
21256,e
13569,b
6074,m
21346,m
22159,m
10698,t
2769,b
18510,t
12328,t
16755,m
6263,b
2863,e
14944,b
14298,m
20229,b
7100,m
1447,m
6248,m
3551,m
12933,e
13624,b
2336,e
16208,e
272,m
5622,t
19140,t
18774,e
13871,m
14776,m
3514,b
13159,m
13641,t
8083,e
23766,b
17193,t
5219,b
3855,t
19074,b
2024,e
20626,e
21912,m
12144,b
834,m
7013,b
12458,t
17066,m
1700,t
23581,e
10415,e
1317,b
14213,m
17991,m
14686,m
2524,t
5078,b
6274,t
8210,m
6142,m
644,e
14925,b
10627,e
7345,e
12665,m
23966,t
5746,t
21616,b
16535,b
12277,b
3637,b
19645,t
13836,b
13183,b
9835,m
7221,t
21319,t
19594,e
19586,e
13485,m
13514,t
23955,b
23383,b
20806,m
14070,t
2163,t
23717,e
22908,m
22285,b
374,t
17305,e
3410,t
11057,b
9149,b
15078,b
14936,e
2327,e
24418,m
17130,m
23569,m
18886,b
5080,b
20260,b
9407,e
2800,t
14452,m
3509,b
14763,t
9319,e
13735,m
587,t
18050,e
19678,e
21176,b
22931,b
17814,t
18368,b
14355,b
8817,e
22025,m
3108,t
20655,b
6942,b
1000,e
329,e
13486,e
11365,t
1740,t
2737,b
1687,b
14631,e
6036,t
24761,e
12528,e
19457,m
2013,m
10748,m
9580,t
178,m
10571,b
2969,b
2696,t
21748,t
4792,m
3739,b
20467,m
8645,t
13350,t
18402,e
1557,e
3719,e
7415,t
4407,b
15704,t
18579,t
1211,m
6961,t
23146,e
9837,t
7544,t
15519,b
4139,m
14691,b
21009,m
14984,m
6818,e
20769,b
11373,b
24748,b
2611,b
24568,b
6155,m
5901,b
6157,m
21340,b
11801,b
11049,e
4042,m
5200,t
17939,m
36,e
4754,b
11690,t
16297,m
21625,b
6843,t
4761,b
20126,t
10678,b
18432,m
3292,m
23711,t
20550,t
6394,m
6648,m
11846,t
3474,b
23129,b
16736,m
20396,b
2556,t
6429,t
14523,m
12248,b
2882,b
19886,m
595,e
414,e
9612,t
10979,m
15705,m
24482,t
6658,m
11202,m
5027,t
2600,e
3525,t
20967,m
24536,t
24755,m
2985,e
18392,t
10232,b
5238,e
1606,m
15372,b
13059,t
11693,e
12946,b
16431,t
10854,b
10648,m
22769,b
14864,m
18128,b
3495,m
23199,b
22639,t
9129,m
18691,t
14233,e
9382,e
1938,m
11092,e
7405,m
5111,m
6908,m
6670,e
2102,t
457,e
4946,t
19484,e
4896,e
7141,t
20641,t
12983,m
17575,t
20394,e
22976,m
8600,t
21848,e
21608,m
1358,b
12727,t
1942,e
12801,e
7513,t
14704,b
2645,m
22704,b
3805,t
3987,e
4383,e
10887,t
5408,e
11643,b
21382,t
19643,m
16900,m
18242,b
16222,t
12587,e
23340,t
10220,b
16249,b
2907,e
17632,m
6544,t
7737,t
18917,e
17880,b
22372,b
15686,e
8830,e
22568,t
10116,b
2483,m
10864,b
23450,b
14258,t
16254,b
9497,m
16869,b
5630,m
3784,t
15414,t
2008,m
24905,b
4650,e
24515,e
6653,t
8444,t
19721,b
16877,m
22126,e
1951,m
21821,b
15430,b
12576,m
15674,e
4733,t
13412,b
16295,m
20936,b
16047,e
23838,t
16778,b
11354,e
18147,t
4290,m
14655,e
8096,e
14667,m
15669,t
2701,e
2972,b
3286,e
10375,b
8057,t
6432,t
16397,t
6759,m
10880,b
18996,t
23272,m
17935,t
6498,b
1781,m
5477,m
10396,t
19957,m
15249,e
19109,m
6004,m
9434,t
23525,e
6911,t
16173,m
13477,b
23977,m
18961,b
14547,t
16450,m
3877,b
502,e
14953,e
2393,m
9845,b
5401,e
23582,e
10155,m
4879,t
12844,t
757,b
2062,b
23442,m
7740,e
11855,m
12434,m
12231,e
19350,t
1061,b
10081,b
20862,m
15649,m
659,t
19294,m
10414,b
23334,m
1150,e
7237,e
10725,t
16319,b
11739,t
15390,m
24430,b
24366,m
8464,m
21939,m
21393,m
5260,t
24787,e
22214,e
12559,e
14461,m
17354,m
21217,t
15168,b
21757,e
8107,t
12370,e
9514,e
7193,b
3574,t
16079,t
5324,b
24621,b
9438,t
20326,t
2877,t
13758,e
20623,t
9271,t
5290,b
21242,b
22618,m
22546,t
18082,b
22275,b
8336,b
22164,t
24764,e
17946,b
11165,m
2035,b
5061,m
13640,m
22762,m
3334,b
3249,b
1572,t
9065,t
6823,t
2711,b
9170,b
18955,b
7478,t
8141,t
11011,b
23537,b
20131,t
12859,e
22724,e
8077,t
9856,t
13185,t
20201,m
19858,m
8548,m
16420,m
12921,e
10962,t
8991,t
6984,b
12780,b
19275,e
14554,m
6320,t
16715,m
12093,m
225,m
15553,m
1809,b
16781,b
19315,e
5927,t
11969,t
23833,t
3333,e
9383,m
6375,m
2559,b
435,t
8147,t
4249,e
1916,e
8992,e
19374,e
20073,e
17889,m
11062,e
10943,m
17243,m
14351,b
9286,e
24396,m
9642,e
12910,e
933,e
1207,e
10781,e
594,m
22068,b
154,t
23885,t
20923,e
18178,b
13438,b
2364,e
19825,b
2326,m
6672,b
22387,e
9181,t
24592,e
14342,e
10313,b
6034,b
17465,t
15624,m
7295,m
5589,t
24402,b
24952,m
4045,b
10849,e
2232,m
8975,m
21124,m
24771,b
9919,t
8950,m
5298,b
12899,b
9004,b
1546,m
18320,b
12265,m
1300,t
6321,t
18101,m
12105,t
17050,b
24371,b
24623,t
10183,t
18238,t
13052,m
12123,e
336,m
7041,m
22134,e
17635,b
2328,t
11499,e
10334,e
6631,t
5865,e
13911,t
11881,b
3683,m
21961,b
12133,m
20036,t
1416,e
3035,t
18140,b
10329,m
20847,e
22014,b
12596,t
21970,e
23195,m
6856,e
14321,t
19753,m
14827,b
16573,m
3175,b
23633,t
9171,m
22848,t
4412,b
19583,e
2282,m
6117,m
3,m
6819,e
12709,t
14500,m
15386,e
4146,m
10349,m
5976,b
24223,b
3165,m
20734,b
17361,t
10002,m
8053,t
20003,m
6673,m
174,t
3196,b
16049,t
1770,m
1651,m
8901,e
1644,t
1119,b
13929,b
19168,m
3979,b
7874,t
16287,t
3025,t
22859,e
1163,m
14169,e
13446,e
20523,e
22717,m
15446,b
2878,e
21173,b
11230,t
6261,m
18447,m
185,m
1948,t
12112,t
17673,b
11105,t
4397,e
24009,t
7037,e
15305,m
11264,m
156,b
19805,m
17059,e
8856,t
12028,t
6575,e
8341,b
15432,e
12708,t
17221,m
13974,t
14681,b
3772,m
3716,b
15452,e
1048,b
16973,m
22804,e
13464,t
8580,b
11645,b
4027,b
5146,b
17498,e
8040,t
8323,t
21130,t
114,m
23796,t
10821,b
18223,e
12320,e
17999,e
20012,b
17558,e
1526,t
2947,e
24963,m
7199,e
5037,t
12855,e
4997,t
4900,t
10177,m
681,m
18650,b
22501,m
16567,m
8136,b
9990,b
2478,t
24370,m
6709,b
17069,e
23797,m
19193,m
9083,e
24414,m
17770,m
9088,m
8299,m
8029,b
14018,t
17046,b
17812,b
1233,e
21135,t
10786,b
8681,b
23925,b
21575,m
2434,t
22065,m
5585,m
9551,b
20787,e
21414,e
24446,e
1349,m
11699,m
15971,b
13651,e
14666,m
20883,t
5218,b
15749,t
8371,t
21428,b
158,t
22079,e
4195,e
13721,m
10119,m
22101,b
13002,e
11280,e
24638,t
19252,e
20612,t
10310,b
16012,m
14990,t
1843,b
5938,e
8565,m
13251,t
4583,t
22622,b
22170,m
5694,e
8741,e
20972,b
18757,m
3762,e
12551,e
21715,b
20415,b
18173,m
1468,b
1117,t
16115,t
4325,m
21687,t
9729,e
22929,b
22329,t
19698,t
4197,e
6912,m
12826,b
15750,t
10505,b
5684,e
8960,e
523,b
2383,b
7776,e
17206,e
4685,e
7485,m
18633,t
12031,m
12240,t
4496,m
19185,t
1530,m
14449,b
14402,e
17495,e
24093,t
17286,e
23370,b
8369,m
20687,t
2355,b
4026,t
11170,b
14677,b
9995,m
10670,b
11451,t
14838,t
13832,b
3437,e
21969,m
11770,e
22852,b
17593,b
24685,b
19851,b
2283,e
20148,e
4421,m
3156,b
14740,b
16486,e
5598,m
5145,t
16175,b
18941,b
18597,b
19388,b
22637,t
1140,b
9349,m
6211,e
23902,m
19552,m
4319,b
4516,e
9359,m
23603,e
18892,m
24710,m
17165,t
21150,m
5039,t
8663,t
1806,e
23718,m
13431,t
10250,e
922,b
22775,m
14263,e
6416,e
10244,b
24214,m
2010,m
11992,m
9232,m
16423,t
19539,b
16638,t
19295,t
17265,t
24505,b
13273,b
12888,m
24070,b
359,e
19859,e
11877,e
21098,m
16569,b
14446,b
12563,t
9489,b
2534,t
21704,t
15442,t
10406,m
16557,e
15995,t
9645,m
2875,e
15839,b
17727,m
10321,e
2446,m
21053,m
17536,t
22375,t
10069,t
8623,m
15193,b
13959,b
3815,b
14317,m
4524,t
14948,m
15990,m
11778,t
20715,e
21358,e
994,m
24574,m
2123,e
11290,t
1442,e
2172,b
1891,m
13985,m
6896,e
9787,e
19922,b
7982,m
9346,m
24169,b
12371,m
15053,b
20045,m
24435,e
3561,t
6643,e
17311,t
2166,e
15570,m
13201,m
15970,m
16402,m
11138,b
14711,b
4328,e
7336,m
18891,m
19696,m
24830,b
20868,m
2436,t
12813,b
21952,t
16474,m
23815,e
13119,e
24255,b
2826,t
14363,e
10345,b
3788,t
15498,m
10664,t
15469,t
18404,m
4851,b
17250,b
16168,m
12543,m
10142,t
963,t
23178,b
2042,b
16395,b
7503,t
2598,m
22235,t
2096,b
12671,b
23656,e
13741,t
24708,m
18312,b
17137,m
4787,b
7175,m
5444,m
12242,m
19637,m
20094,m
5155,m
11738,t
6642,e
16979,t
13566,b
16432,m
10548,m
9644,b
23748,m
5467,e
547,t
9394,b
19201,b
13023,m
3284,e
12032,b
2437,e
8549,e
7618,e
23589,b
5703,t
14734,m
24465,b
17178,b
22124,e
16732,e
24381,b
16964,t
11356,m
6023,e
2113,e
18150,t
22433,b
3956,t
1246,e
10289,e
8604,m
24677,b
5313,b
7097,e
578,m
5107,t
21706,e
3043,m
8260,e
14899,t
7012,b
15278,t
9105,e
11236,e
17047,m
5385,t
19566,e
16155,b
18931,t
5979,t
16741,t
21129,b
18426,t
20185,e
16235,t
3374,e
2945,e
17600,e
20667,t
12206,e
23230,t
21121,t
17407,b
17,m
16916,e
6118,e
12350,m
19036,b
8751,m
10785,t
23037,t
15342,e
4811,t
12901,b
4136,m
14141,e
641,e
20694,t
